,event,date_played,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,Opening,myrating,hour,time_of_day,type of game
0,Rated Blitz game,2023.02.07,Andrea_Tutone,Jay_1999,Lost,1987,6,2043,-7,Andrea_Tutone,1987,Jay_1999,2043,Lost agaist high rated player,B01,Resignation/Checkmate,blitz,2023.02.07,2/10/2023 19:39,Standard,Scandinavian Defense,2043,19,evening,evening
1,Rated Blitz game,2023.02.07,Jay_1999,PotatoMatey,Lost,2050,-7,1991,7,PotatoMatey,1991,Jay_1999,2050,Lost agaist high rated player,A01,Resignation/Checkmate,blitz,2023.02.07,2/10/2023 4:54,Standard,Nimzovich-Larsen Attack,2050,4,night,night
2,Rated Blitz game,2023.02.06,Jay_1999,Alrrash,Lost,2055,-5,2126,5,Alrrash,2126,Jay_1999,2055,Lost agaist high rated player,A01,Resignation/Checkmate,blitz,2023.02.06,2/10/2023 4:30,Standard,Nimzovich-Larsen Attack,2055,4,night,night
3,Rated Blitz game,2023.02.05,Crocodingo,Jay_1999,Lost,2115,5,2060,-5,Crocodingo,2115,Jay_1999,2060,Lost agaist high rated player,E90,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 23:38,Standard,King's Indian Defense,2060,23,night,night
4,Rated Blitz game,2023.02.05,pijuan,Jay_1999,Won,2054,-6,2054,6,Jay_1999,2054,pijuan,2054,Won against Similar Rating,B01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 22:09,Standard,Scandinavian Defense,2060,22,night,night
5,Rated Blitz game,2023.02.05,Jay_1999,duhanvandermerwe,Won,2048,6,2018,-6,Jay_1999,2048,duhanvandermerwe,2018,Won against Similar Rating,A01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 21:51,Standard,Nimzovich-Larsen Attack,2054,21,evening,evening
6,Rated Blitz game,2023.02.05,Jay_1999,az_-ote1962,Won,2041,7,2059,-6,Jay_1999,2041,az_-ote1962,2059,Won against Similar Rating,A01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 7:36,Standard,Nimzovich-Larsen Attack,2048,7,morning,morning
7,Rated Blitz game,2023.02.05,Albehagha,Jay_1999,Lost,2051,6,2048,-7,Albehagha,2051,Jay_1999,2048,Lost against Similar Rating,A45,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 7:23,Standard,Queen's Pawn' Opening,2048,7,morning,morning
8,Rated Blitz game,2023.02.05,otoson,Jay_1999,Won,2136,-7,2039,9,Jay_1999,2039,otoson,2136,Won agaist high rated player,A03,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 7:07,Standard,Bird's Opening,2048,7,morning,morning
9,Rated Blitz game,2023.02.05,GlebZudin,Jay_1999,Won,2010,-6,2033,6,Jay_1999,2033,GlebZudin,2010,Won against Similar Rating,C02,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 6:54,Standard,French Defense,2039,6,morning,morning
10,Rated Blitz game,2023.02.05,usernombre,Jay_1999,Won,2026,-5,2026,7,Jay_1999,2026,usernombre,2026,Won against Similar Rating,B01,Resignation/Checkmate,blitz,2023.02.05,2/10/2023 6:50,Standard,Scandinavian Defense,2033,6,morning,morning
